ID,SET,PROMPT LABEL,ESSAY LABEL,DELTA
essay001,TEST,2.0,1.0,-1.0
essay001,TEST,2.0,2.0,0.0
essay001,TEST,0.0,-1.0,-1.0
essay002,TRAIN,1.0,0.0,-1.0
essay002,TRAIN,2.0,2.0,0.0
essay002,TRAIN,1.0,0.0,-1.0
essay003,TRAIN,1.0,1.0,0.0
essay003,TRAIN,2.0,0.0,-2.0
essay003,TRAIN,2.0,2.0,0.0
essay004,TRAIN,1.0,1.0,0.0
essay004,TRAIN,1.0,1.0,0.0
essay004,TRAIN,2.0,1.0,-1.0
essay005,TRAIN,1.0,1.0,0.0
essay005,TRAIN,1.0,2.0,1.0
essay005,TRAIN,1.0,0.0,-1.0
essay006,VALIDATION,2.0,2.0,0.0
essay006,VALIDATION,2.0,2.0,0.0
essay006,VALIDATION,1.0,1.0,0.0
essay007,TRAIN,2.0,2.0,0.0
essay007,TRAIN,1.0,1.0,0.0
essay007,TRAIN,1.0,1.0,0.0
essay010,TRAIN,2.0,2.0,0.0
essay010,TRAIN,1.0,1.0,0.0
essay010,TRAIN,1.0,1.0,0.0
essay013,TEST,1.0,1.0,0.0
essay013,TEST,2.0,2.0,0.0
essay013,TEST,0.0,0.0,0.0
essay014,TRAIN,1.0,2.0,1.0
essay014,TRAIN,0.0,1.0,1.0
essay014,TRAIN,2.0,2.0,0.0
essay015,TRAIN,2.0,2.0,0.0
essay015,TRAIN,1.0,0.0,-1.0
essay015,TRAIN,2.0,2.0,0.0
essay016,TRAIN,0.0,2.0,2.0
essay016,TRAIN,1.0,0.0,-1.0
essay016,TRAIN,1.0,2.0,1.0
essay017,TRAIN,-1.0,0.0,1.0
essay017,TRAIN,2.0,2.0,0.0
essay017,TRAIN,2.0,1.0,-1.0
essay018,TEST,2.0,2.0,0.0
essay018,TEST,-1.0,-1.0,0.0
essay018,TEST,1.0,2.0,1.0
essay019,TRAIN,1.0,2.0,1.0
essay019,TRAIN,2.0,2.0,0.0
essay019,TRAIN,-1.0,1.0,2.0
essay020,TEST,0.0,0.0,0.0
essay020,TEST,2.0,0.0,-2.0
essay020,TEST,1.0,2.0,1.0
essay021,TRAIN,2.0,1.0,-1.0
essay021,TRAIN,1.0,1.0,0.0
essay021,TRAIN,1.0,1.0,0.0
essay022,TRAIN,2.0,1.0,-1.0
essay022,TRAIN,0.0,0.0,0.0
essay022,TRAIN,1.0,1.0,0.0
essay023,VALIDATION,1.0,1.0,0.0
essay023,VALIDATION,1.0,1.0,0.0
essay023,VALIDATION,1.0,0.0,-1.0
essay024,TRAIN,2.0,-1.0,-3.0
essay024,TRAIN,2.0,0.0,-2.0
essay024,TRAIN,1.0,1.0,0.0
essay025,TRAIN,-1.0,-1.0,0.0
essay025,TRAIN,0.0,0.0,0.0
essay025,TRAIN,1.0,1.0,0.0
essay026,TRAIN,1.0,1.0,0.0
essay026,TRAIN,1.0,2.0,1.0
essay026,TRAIN,1.0,2.0,1.0
essay028,TRAIN,1.0,0.0,-1.0
essay028,TRAIN,2.0,1.0,-1.0
essay028,TRAIN,1.0,2.0,1.0
essay030,TRAIN,-1.0,-1.0,0.0
essay030,TRAIN,2.0,0.0,-2.0
essay030,TRAIN,-1.0,-2.0,-1.0
essay031,TRAIN,2.0,1.0,-1.0
essay031,TRAIN,1.0,1.0,0.0
essay031,TRAIN,1.0,0.0,-1.0
essay032,TRAIN,0.0,1.0,1.0
essay032,TRAIN,2.0,1.0,-1.0
essay032,TRAIN,2.0,1.0,-1.0
essay033,TRAIN,1.0,1.0,0.0
essay033,TRAIN,1.0,1.0,0.0
essay033,TRAIN,1.0,2.0,1.0
essay034,TRAIN,0.0,0.0,0.0
essay034,TRAIN,2.0,2.0,0.0
essay034,TRAIN,1.0,1.0,0.0
essay035,TRAIN,1.0,1.0,0.0
essay035,TRAIN,0.0,0.0,0.0
essay035,TRAIN,2.0,1.0,-1.0
essay036,TRAIN,2.0,2.0,0.0
essay036,TRAIN,2.0,2.0,0.0
essay036,TRAIN,1.0,1.0,0.0
essay037,VALIDATION,0.0,1.0,1.0
essay037,VALIDATION,2.0,-1.0,-3.0
essay037,VALIDATION,1.0,0.0,-1.0
essay038,VALIDATION,2.0,2.0,0.0
essay038,VALIDATION,2.0,2.0,0.0
essay038,VALIDATION,2.0,2.0,0.0
essay039,TRAIN,0.0,0.0,0.0
essay039,TRAIN,0.0,2.0,2.0
essay039,TRAIN,-1.0,-1.0,0.0
essay040,TEST,1.0,-1.0,-2.0
essay040,TEST,2.0,2.0,0.0
essay040,TEST,2.0,1.0,-1.0
essay041,TRAIN,-2.0,-1.0,1.0
essay041,TRAIN,-1.0,0.0,1.0
essay041,TRAIN,2.0,-2.0,-4.0
essay042,TRAIN,0.0,0.0,0.0
essay042,TRAIN,2.0,1.0,-1.0
essay042,TRAIN,2.0,2.0,0.0
essay044,TRAIN,2.0,2.0,0.0
essay044,TRAIN,2.0,2.0,0.0
essay044,TRAIN,2.0,1.0,-1.0
essay045,TRAIN,-2.0,-2.0,0.0
essay045,TRAIN,2.0,2.0,0.0
essay045,TRAIN,1.0,0.0,-1.0
essay047,TRAIN,1.0,1.0,0.0
essay047,TRAIN,1.0,1.0,0.0
essay047,TRAIN,2.0,1.0,-1.0
essay048,TRAIN,1.0,1.0,0.0
essay048,TRAIN,2.0,1.0,-1.0
essay048,TRAIN,-2.0,-2.0,0.0
essay049,TRAIN,2.0,2.0,0.0
essay049,TRAIN,2.0,2.0,0.0
essay049,TRAIN,1.0,-1.0,-2.0
essay051,TRAIN,0.0,1.0,1.0
essay051,TRAIN,1.0,1.0,0.0
essay051,TRAIN,2.0,2.0,0.0
essay053,TEST,0.0,0.0,0.0
essay053,TEST,1.0,0.0,-1.0
essay053,TEST,-1.0,-1.0,0.0
essay054,TRAIN,-1.0,2.0,3.0
essay054,TRAIN,2.0,0.0,-2.0
essay054,TRAIN,1.0,2.0,1.0
essay055,TEST,2.0,1.0,-1.0
essay055,TEST,2.0,2.0,0.0
essay055,TEST,1.0,0.0,-1.0
essay057,TRAIN,1.0,2.0,1.0
essay057,TRAIN,1.0,1.0,0.0
essay057,TRAIN,2.0,2.0,0.0
essay058,VALIDATION,2.0,2.0,0.0
essay058,VALIDATION,2.0,2.0,0.0
essay058,VALIDATION,2.0,2.0,0.0
essay059,TRAIN,1.0,2.0,1.0
essay059,TRAIN,1.0,0.0,-1.0
essay059,TRAIN,2.0,2.0,0.0
essay060,TRAIN,1.0,1.0,0.0
essay060,TRAIN,1.0,1.0,0.0
essay060,TRAIN,2.0,1.0,-1.0
essay062,TRAIN,1.0,1.0,0.0
essay062,TRAIN,-2.0,-1.0,1.0
essay062,TRAIN,1.0,1.0,0.0
essay063,TRAIN,1.0,1.0,0.0
essay063,TRAIN,1.0,-1.0,-2.0
essay063,TRAIN,-2.0,-2.0,0.0
essay064,TRAIN,2.0,1.0,-1.0
essay064,TRAIN,0.0,0.0,0.0
essay064,TRAIN,2.0,0.0,-2.0
essay065,TRAIN,1.0,2.0,1.0
essay065,TRAIN,1.0,1.0,0.0
essay065,TRAIN,2.0,-2.0,-4.0
essay066,TRAIN,1.0,1.0,0.0
essay066,TRAIN,2.0,1.0,-1.0
essay066,TRAIN,-1.0,-1.0,0.0
essay067,TRAIN,1.0,2.0,1.0
essay067,TRAIN,2.0,2.0,0.0
essay067,TRAIN,1.0,1.0,0.0
essay068,TRAIN,-2.0,-2.0,0.0
essay068,TRAIN,2.0,2.0,0.0
essay068,TRAIN,2.0,2.0,0.0
essay069,TEST,2.0,2.0,0.0
essay069,TEST,2.0,2.0,0.0
essay069,TEST,2.0,2.0,0.0
essay070,TRAIN,1.0,1.0,0.0
essay070,TRAIN,2.0,1.0,-1.0
essay070,TRAIN,-1.0,-2.0,-1.0
essay071,VALIDATION,1.0,1.0,0.0
essay071,VALIDATION,0.0,0.0,0.0
essay071,VALIDATION,0.0,1.0,1.0
essay072,TRAIN,2.0,2.0,0.0
essay072,TRAIN,2.0,2.0,0.0
essay072,TRAIN,2.0,1.0,-1.0
essay074,VALIDATION,1.0,1.0,0.0
essay074,VALIDATION,1.0,1.0,0.0
essay074,VALIDATION,2.0,2.0,0.0
essay075,TRAIN,2.0,2.0,0.0
essay075,TRAIN,2.0,2.0,0.0
essay075,TRAIN,2.0,0.0,-2.0
essay077,TRAIN,1.0,0.0,-1.0
essay077,TRAIN,0.0,0.0,0.0
essay077,TRAIN,2.0,2.0,0.0
essay079,VALIDATION,2.0,2.0,0.0
essay079,VALIDATION,0.0,1.0,1.0
essay079,VALIDATION,0.0,0.0,0.0
essay080,VALIDATION,0.0,0.0,0.0
essay080,VALIDATION,2.0,2.0,0.0
essay080,VALIDATION,-2.0,-1.0,1.0
essay081,TEST,2.0,2.0,0.0
essay081,TEST,0.0,-1.0,-1.0
essay081,TEST,2.0,2.0,0.0
essay082,VALIDATION,2.0,1.0,-1.0
essay082,VALIDATION,1.0,-1.0,-2.0
essay082,VALIDATION,2.0,2.0,0.0
essay083,TRAIN,1.0,0.0,-1.0
essay083,TRAIN,1.0,0.0,-1.0
essay083,TRAIN,0.0,1.0,1.0
essay084,TEST,1.0,2.0,1.0
essay084,TEST,-1.0,0.0,1.0
essay084,TEST,-1.0,1.0,2.0
essay086,TRAIN,0.0,1.0,1.0
essay086,TRAIN,1.0,2.0,1.0
essay086,TRAIN,1.0,2.0,1.0
essay087,TRAIN,2.0,2.0,0.0
essay087,TRAIN,2.0,2.0,0.0
essay087,TRAIN,2.0,2.0,0.0
essay088,TRAIN,1.0,1.0,0.0
essay088,TRAIN,2.0,2.0,0.0
essay088,TRAIN,2.0,1.0,-1.0
essay089,TRAIN,1.0,2.0,1.0
essay089,TRAIN,2.0,1.0,-1.0
essay089,TRAIN,1.0,2.0,1.0
essay090,TEST,2.0,2.0,0.0
essay090,TEST,1.0,2.0,1.0
essay090,TEST,2.0,1.0,-1.0
essay091,TRAIN,2.0,2.0,0.0
essay091,TRAIN,1.0,1.0,0.0
essay091,TRAIN,2.0,2.0,0.0
essay093,TRAIN,2.0,2.0,0.0
essay093,TRAIN,1.0,1.0,0.0
essay093,TRAIN,1.0,2.0,1.0
essay094,TRAIN,2.0,2.0,0.0
essay094,TRAIN,2.0,2.0,0.0
essay094,TRAIN,1.0,2.0,1.0
essay095,TEST,0.0,2.0,2.0
essay095,TEST,1.0,-1.0,-2.0
essay095,TEST,1.0,0.0,-1.0
essay096,TEST,2.0,2.0,0.0
essay096,TEST,1.0,1.0,0.0
essay096,TEST,1.0,0.0,-1.0
essay097,VALIDATION,2.0,2.0,0.0
essay097,VALIDATION,1.0,0.0,-1.0
essay097,VALIDATION,0.0,1.0,1.0
essay099,TRAIN,2.0,1.0,-1.0
essay099,TRAIN,0.0,1.0,1.0
essay099,TRAIN,2.0,2.0,0.0
essay100,TEST,0.0,0.0,0.0
essay100,TEST,0.0,1.0,1.0
essay100,TEST,-2.0,-1.0,1.0
essay101,TRAIN,1.0,1.0,0.0
essay101,TRAIN,2.0,1.0,-1.0
essay101,TRAIN,2.0,1.0,-1.0
essay102,TRAIN,2.0,1.0,-1.0
essay102,TRAIN,2.0,2.0,0.0
essay102,TRAIN,1.0,1.0,0.0
essay103,TRAIN,1.0,1.0,0.0
essay103,TRAIN,1.0,1.0,0.0
essay103,TRAIN,2.0,0.0,-2.0
essay104,TRAIN,2.0,2.0,0.0
essay104,TRAIN,2.0,1.0,-1.0
essay104,TRAIN,2.0,2.0,0.0
essay105,TRAIN,0.0,1.0,1.0
essay105,TRAIN,2.0,2.0,0.0
essay105,TRAIN,2.0,2.0,0.0
essay106,TEST,-1.0,-2.0,-1.0
essay106,TEST,0.0,1.0,1.0
essay106,TEST,2.0,1.0,-1.0
essay108,TRAIN,-1.0,-1.0,0.0
essay108,TRAIN,-1.0,-1.0,0.0
essay108,TRAIN,-1.0,-1.0,0.0
essay109,TRAIN,2.0,2.0,0.0
essay109,TRAIN,2.0,1.0,-1.0
essay109,TRAIN,1.0,0.0,-1.0
essay110,TEST,2.0,2.0,0.0
essay110,TEST,1.0,1.0,0.0
essay110,TEST,2.0,2.0,0.0
essay111,TEST,1.0,1.0,0.0
essay111,TEST,1.0,2.0,1.0
essay111,TEST,2.0,2.0,0.0
essay112,TRAIN,0.0,1.0,1.0
essay112,TRAIN,1.0,1.0,0.0
essay112,TRAIN,2.0,2.0,0.0
essay114,VALIDATION,2.0,2.0,0.0
essay114,VALIDATION,2.0,2.0,0.0
essay114,VALIDATION,2.0,1.0,-1.0
essay115,TRAIN,0.0,2.0,2.0
essay115,TRAIN,2.0,2.0,0.0
essay115,TRAIN,1.0,2.0,1.0
essay116,TRAIN,2.0,2.0,0.0
essay116,TRAIN,1.0,2.0,1.0
essay116,TRAIN,0.0,0.0,0.0
essay117,VALIDATION,2.0,2.0,0.0
essay117,VALIDATION,-1.0,-1.0,0.0
essay117,VALIDATION,-1.0,-1.0,0.0
essay118,VALIDATION,2.0,2.0,0.0
essay118,VALIDATION,0.0,0.0,0.0
essay118,VALIDATION,1.0,1.0,0.0
essay119,TEST,2.0,2.0,0.0
essay119,TEST,-2.0,-2.0,0.0
essay119,TEST,2.0,2.0,0.0
essay120,TEST,0.0,2.0,2.0
essay120,TEST,-1.0,0.0,1.0
essay120,TEST,0.0,1.0,1.0
essay121,TRAIN,1.0,1.0,0.0
essay121,TRAIN,2.0,2.0,0.0
essay121,TRAIN,1.0,0.0,-1.0
essay122,TRAIN,0.0,0.0,0.0
essay122,TRAIN,0.0,0.0,0.0
essay122,TRAIN,2.0,0.0,-2.0
essay123,VALIDATION,2.0,2.0,0.0
essay123,VALIDATION,1.0,2.0,1.0
essay123,VALIDATION,1.0,2.0,1.0
essay124,TRAIN,2.0,1.0,-1.0
essay124,TRAIN,2.0,2.0,0.0
essay124,TRAIN,-1.0,-2.0,-1.0
essay126,TRAIN,1.0,1.0,0.0
essay126,TRAIN,2.0,2.0,0.0
essay126,TRAIN,2.0,2.0,0.0
essay127,TRAIN,2.0,2.0,0.0
essay127,TRAIN,2.0,1.0,-1.0
essay127,TRAIN,2.0,2.0,0.0
essay128,VALIDATION,0.0,0.0,0.0
essay128,VALIDATION,1.0,0.0,-1.0
essay128,VALIDATION,0.0,2.0,2.0
essay129,TRAIN,0.0,1.0,1.0
essay129,TRAIN,1.0,1.0,0.0
essay129,TRAIN,-1.0,-1.0,0.0
essay130,TRAIN,1.0,1.0,0.0
essay130,TRAIN,2.0,1.0,-1.0
essay130,TRAIN,1.0,1.0,0.0
essay131,TRAIN,0.0,1.0,1.0
essay131,TRAIN,1.0,1.0,0.0
essay131,TRAIN,2.0,2.0,0.0
essay132,TRAIN,2.0,2.0,0.0
essay132,TRAIN,-2.0,-2.0,0.0
essay132,TRAIN,2.0,1.0,-1.0
essay133,TRAIN,1.0,2.0,1.0
essay133,TRAIN,0.0,0.0,0.0
essay133,TRAIN,0.0,0.0,0.0
essay134,TRAIN,2.0,1.0,-1.0
essay134,TRAIN,2.0,2.0,0.0
essay134,TRAIN,0.0,1.0,1.0
essay138,VALIDATION,1.0,1.0,0.0
essay138,VALIDATION,1.0,0.0,-1.0
essay138,VALIDATION,1.0,-2.0,-3.0
essay139,TRAIN,2.0,2.0,0.0
essay139,TRAIN,2.0,2.0,0.0
essay139,TRAIN,2.0,2.0,0.0
essay140,TRAIN,1.0,1.0,0.0
essay140,TRAIN,1.0,2.0,1.0
essay140,TRAIN,1.0,1.0,0.0
essay141,TRAIN,2.0,2.0,0.0
essay141,TRAIN,2.0,2.0,0.0
essay141,TRAIN,1.0,1.0,0.0
essay142,TEST,2.0,2.0,0.0
essay142,TEST,1.0,2.0,1.0
essay142,TEST,0.0,-1.0,-1.0
essay143,TRAIN,1.0,1.0,0.0
essay143,TRAIN,-1.0,-1.0,0.0
essay143,TRAIN,1.0,-1.0,-2.0
essay144,TRAIN,-2.0,-2.0,0.0
essay144,TRAIN,-1.0,2.0,3.0
essay144,TRAIN,1.0,2.0,1.0
essay145,TRAIN,-1.0,-2.0,-1.0
essay145,TRAIN,0.0,0.0,0.0
essay145,TRAIN,2.0,1.0,-1.0
essay146,TRAIN,1.0,1.0,0.0
essay146,TRAIN,2.0,2.0,0.0
essay146,TRAIN,0.0,-1.0,-1.0
essay147,TRAIN,1.0,1.0,0.0
essay147,TRAIN,1.0,0.0,-1.0
essay147,TRAIN,2.0,1.0,-1.0
essay148,VALIDATION,1.0,1.0,0.0
essay148,VALIDATION,-1.0,1.0,2.0
essay148,VALIDATION,-1.0,-1.0,0.0
essay149,TRAIN,2.0,2.0,0.0
essay149,TRAIN,0.0,0.0,0.0
essay149,TRAIN,2.0,2.0,0.0
essay150,TRAIN,2.0,2.0,0.0
essay150,TRAIN,1.0,1.0,0.0
essay150,TRAIN,2.0,2.0,0.0
essay151,TRAIN,-2.0,0.0,2.0
essay151,TRAIN,2.0,2.0,0.0
essay152,TRAIN,-1.0,-1.0,0.0
essay152,TRAIN,0.0,0.0,0.0
essay152,TRAIN,0.0,1.0,1.0
essay153,TEST,1.0,1.0,0.0
essay153,TEST,2.0,2.0,0.0
essay153,TEST,1.0,1.0,0.0
essay154,TRAIN,1.0,1.0,0.0
essay154,TRAIN,1.0,1.0,0.0
essay154,TRAIN,1.0,0.0,-1.0
essay155,VALIDATION,2.0,2.0,0.0
essay155,VALIDATION,1.0,0.0,-1.0
essay155,VALIDATION,0.0,1.0,1.0
essay156,TRAIN,2.0,2.0,0.0
essay156,TRAIN,-2.0,-1.0,1.0
essay156,TRAIN,1.0,1.0,0.0
essay157,VALIDATION,0.0,1.0,1.0
essay157,VALIDATION,1.0,2.0,1.0
essay157,VALIDATION,2.0,0.0,-2.0
essay158,TRAIN,1.0,1.0,0.0
essay158,TRAIN,2.0,2.0,0.0
essay158,TRAIN,1.0,1.0,0.0
essay159,VALIDATION,-1.0,1.0,2.0
essay159,VALIDATION,1.0,1.0,0.0
essay159,VALIDATION,1.0,2.0,1.0
essay160,TRAIN,2.0,2.0,0.0
essay160,TRAIN,2.0,1.0,-1.0
essay160,TRAIN,-2.0,-1.0,1.0
essay161,TRAIN,1.0,1.0,0.0
essay161,TRAIN,1.0,1.0,0.0
essay161,TRAIN,2.0,2.0,0.0
essay162,TRAIN,0.0,1.0,1.0
essay162,TRAIN,-1.0,0.0,1.0
essay162,TRAIN,0.0,0.0,0.0
essay163,TRAIN,1.0,1.0,0.0
essay163,TRAIN,0.0,1.0,1.0
essay163,TRAIN,2.0,1.0,-1.0
essay164,TRAIN,0.0,0.0,0.0
essay164,TRAIN,2.0,2.0,0.0
essay164,TRAIN,1.0,1.0,0.0
essay165,TRAIN,2.0,2.0,0.0
essay165,TRAIN,2.0,2.0,0.0
essay165,TRAIN,-2.0,2.0,4.0
essay166,TRAIN,0.0,0.0,0.0
essay166,TRAIN,0.0,1.0,1.0
essay166,TRAIN,2.0,2.0,0.0
essay167,VALIDATION,2.0,2.0,0.0
essay167,VALIDATION,2.0,0.0,-2.0
essay167,VALIDATION,2.0,1.0,-1.0
essay168,TRAIN,1.0,0.0,-1.0
essay168,TRAIN,-1.0,-1.0,0.0
essay168,TRAIN,1.0,-2.0,-3.0
essay169,VALIDATION,1.0,2.0,1.0
essay169,VALIDATION,1.0,2.0,1.0
essay169,VALIDATION,2.0,2.0,0.0
essay170,TRAIN,2.0,2.0,0.0
essay170,TRAIN,0.0,-1.0,-1.0
essay170,TRAIN,2.0,2.0,0.0
essay171,TRAIN,2.0,2.0,0.0
essay171,TRAIN,2.0,2.0,0.0
essay171,TRAIN,2.0,2.0,0.0
essay172,TRAIN,1.0,1.0,0.0
essay172,TRAIN,1.0,2.0,1.0
essay172,TRAIN,1.0,2.0,1.0
essay173,TRAIN,2.0,1.0,-1.0
essay173,TRAIN,0.0,1.0,1.0
essay173,TRAIN,2.0,1.0,-1.0
essay174,TRAIN,-2.0,0.0,2.0
essay174,TRAIN,2.0,2.0,0.0
essay174,TRAIN,1.0,1.0,0.0
essay175,TRAIN,0.0,0.0,0.0
essay175,TRAIN,-2.0,-1.0,1.0
essay175,TRAIN,2.0,0.0,-2.0
essay177,TEST,0.0,1.0,1.0
essay177,TEST,1.0,1.0,0.0
essay177,TEST,-2.0,2.0,4.0
essay178,VALIDATION,0.0,2.0,2.0
essay178,VALIDATION,0.0,2.0,2.0
essay178,VALIDATION,2.0,2.0,0.0
essay179,TRAIN,0.0,1.0,1.0
essay179,TRAIN,1.0,0.0,-1.0
essay179,TRAIN,2.0,0.0,-2.0
essay181,TRAIN,2.0,2.0,0.0
essay181,TRAIN,1.0,2.0,1.0
essay181,TRAIN,2.0,2.0,0.0
essay182,TRAIN,-1.0,0.0,1.0
essay182,TRAIN,0.0,0.0,0.0
essay182,TRAIN,-2.0,-2.0,0.0
essay183,TRAIN,2.0,1.0,-1.0
essay183,TRAIN,1.0,2.0,1.0
essay183,TRAIN,2.0,1.0,-1.0
essay184,VALIDATION,1.0,2.0,1.0
essay184,VALIDATION,1.0,2.0,1.0
essay184,VALIDATION,1.0,2.0,1.0
essay185,TRAIN,1.0,1.0,0.0
essay185,TRAIN,-1.0,-2.0,-1.0
essay185,TRAIN,2.0,1.0,-1.0
essay186,VALIDATION,2.0,2.0,0.0
essay186,VALIDATION,-2.0,-2.0,0.0
essay186,VALIDATION,-2.0,-2.0,0.0
essay187,TRAIN,-2.0,-2.0,0.0
essay187,TRAIN,2.0,2.0,0.0
essay187,TRAIN,1.0,0.0,-1.0
essay188,VALIDATION,1.0,1.0,0.0
essay188,VALIDATION,2.0,2.0,0.0
essay188,VALIDATION,-2.0,-2.0,0.0
essay189,TRAIN,2.0,0.0,-2.0
essay189,TRAIN,1.0,1.0,0.0
essay189,TRAIN,2.0,2.0,0.0
essay190,TRAIN,1.0,1.0,0.0
essay190,TRAIN,1.0,2.0,1.0
essay190,TRAIN,1.0,2.0,1.0
essay191,TRAIN,1.0,2.0,1.0
essay191,TRAIN,2.0,1.0,-1.0
essay191,TRAIN,2.0,-1.0,-3.0
